Species,Family,Clade,type_of_care,number_of_parents,care_duration,care_duration_in_males,care_in_males_binary,care_duration_in_females,care_in_females_binary,protection,protection_in_males,protection_in_females,nourishment_by_females,nourishment_by_females_binary,terrestrial_reproduction,direct_development,female_SVL_,male_SVL,average_male_female_SVL,SSD,Egg_diameter,Clutch_size,Clutch_volume
Brachytarsophrys intermedia,Megophryidae,Anomocoela,male_only care ,1,1,1,1,0,0,2,2,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Breviceps adspersus,Brevicipitidae,Afrobatrachia,female_only care ,1,1,0,0,1,1,2,0,2,2,1,NA,present,NA,NA,NA,NA,4.466835922,NA,NA
Breviceps fuscus,Brevicipitidae,Afrobatrachia,male_only care ,1,1,1,1,0,0,2,2,0,2,1,1,present,51,NA,NA,NA,5.011872336,42.5,834.06
Breviceps gibbosus,Brevicipitidae,Afrobatrachia,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Breviceps mossambicus,Brevicipitidae,Afrobatrachia,female_only care ,1,1,0,0,1,1,2,0,2,2,1,1,present,44.5,NA,NA,NA,5.011872336,25,490.63
Breviceps sylvestris,Brevicipitidae,Afrobatrachia,female_only care ,1,1,0,0,1,1,2,0,2,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Bryophryne cophites,Craugastoridae,Terrarana,female_only care ,1,1,0,0,1,1,2,0,2,2,1,1,present,25.45,NA,NA,NA,3.981071706,20,251.2
Buergeria buergeri,Rhacophoridae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,60.1,36.5,48.3,_0.22,1.288249552,418,554.54
Buergeria japonica,Rhacophoridae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,33.45,29.9,31.68,_0.05,1.288249552,332,440.45
Buergeria oxycephala,Rhacophoridae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,64.5,36.5,50.5,_0.25,1.513561248,NA,NA
Buergeria robusta,Rhacophoridae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,66.05,50.2,58.13,_0.12,1.9498446,350,1044.74
Bufo aspinius,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,95,74.4,84.7,_0.11,NA,2250,NA
Bufo bankorensis,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,99,86,92.5,_0.06,1.513561248,3725,6579.28
Bufo bufo,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,100,NA,NA,NA,2.041737945,5166,16629.31
Bufo gargarizans,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,85.05,71.3,78.18,_0.08,2.041737945,5925,19546.35
Bufo japonicus,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,102.5,NA,NA,NA,1.905460718,7750,21962.34
Bufo stejnegeri,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,54.6,55,54.8,0,NA,830,NA
Bufo tibetanus,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,72.2,61.7,66.95,_0.07,1.905460718,4000,11335.4
Bufo verrucosissimus,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,141,83.5,112.25,_0.23,2.187761624,5685,21599.59
Bufotes pewzowi,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,80.3,72.2,76.25,_0.05,1.288249552,3250,4311.61
Bufotes viridis,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,88,NA,NA,NA,1.479108388,10000,17078.66
Cacosternum boettgeri,Pyxicephalidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,22,NA,NA,NA,0.794328235,30,14.6
Cacosternum capense,Pyxicephalidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,39,NA,NA,NA,1,229,179.77
Cacosternum platys,Pyxicephalidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,NA,NA,NA,NA,NA,NA,NA
Callulops robustus,Microhylidae,Microhylidae,male_only care ,1,1,1,1,0,0,2,2,0,2,1,1,present,75,NA,NA,NA,6.760829754,17,608.03
Callulops wilhelmanus,Microhylidae,Microhylidae,male_only care ,1,1,1,1,0,0,2,2,0,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Calyptocephalella gayi,Calyptocephalellidae,Australobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,235,NA,NA,NA,2.884031503,5500,36310.18
Capensibufo rosei,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,39,28,33.5,_0.14,2.570395783,80,424.53
Capensibufo tradouwi,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,35,NA,NA,NA,1.995262315,60,188.4
Cardioglossa leucomystax,Arthroleptidae,Afrobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,32.9,NA,NA,NA,2.511886432,25,122.66
Celsiella vozmedianoi,Centrolenidae,Diphyabatracea,male_only care ,1,1,1,1,0,0,2,2,0,0,0,1,absent,NA,NA,NA,NA,NA,NA,NA
Centrolene antioquiense,Centrolenidae,Diphyabatracea,male_only care ,1,1,1,1,0,0,2,2,0,0,0,1,absent,NA,NA,NA,NA,NA,NA,NA
Centrolene buckleyi,Centrolenidae,Diphyabatracea,female_only care ,1,1,0,0,1,1,2,0,2,0,0,1,absent,NA,NA,NA,NA,NA,18,NA
Centrolene daidaleum,Centrolenidae,Diphyabatracea,male_only care ,1,1,1,1,0,0,2,2,0,0,0,1,absent,NA,NA,NA,NA,NA,NA,NA
Centrolene geckoideum,Centrolenidae,Diphyabatracea,male_only care ,1,1,1,1,0,0,2,2,0,0,0,1,absent,62,74.5,68.25,0.08,3.801893963,112,1252.91
Centrolene hesperium,Centrolenidae,Diphyabatracea,female_only care ,1,1,0,0,1,1,2,0,2,0,0,1,absent,NA,NA,NA,NA,NA,NA,NA
Centrolene notostictum,Centrolenidae,Diphyabatracea,male_only care ,1,1,1,1,0,0,2,2,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Centrolene peristictum,Centrolenidae,Diphyabatracea,male_only care ,1,1,1,1,0,0,2,2,0,0,0,1,absent,NA,NA,NA,NA,NA,NA,NA
Centrolene petrophilum,Centrolenidae,Diphyabatracea,male_only care ,1,1,1,1,0,0,2,2,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Centrolene savagei,Centrolenidae,Diphyabatracea,male_only care ,1,1,1,1,0,0,2,2,0,0,0,NA,absent,NA,NA,NA,NA,5.495408739,18,425.88
Ceratophrys cornuta,Ceratophryidae,Crown Hyloidea,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,99.5,NA,NA,NA,2.13796209,1285,4555.02
Ceratophrys ornata,Ceratophryidae,Crown Hyloidea,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,107.5,NA,NA,NA,1.737800829,1250,3005.08
Chaperina fusca,Microhylidae,Microhylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,22.4,19.2,20.8,_0.07,NA,NA,NA
Charadrahyla taeniopus,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,64.2,58,61.1,_0.04,2.187761624,NA,NA
Chiasmocleis bassleri,Microhylidae,Microhylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,1,NA,NA
Chiasmocleis leucosticta,Microhylidae,Microhylidae,biparental care,2,1,1,1,1,1,1,1,1,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Chiasmocleis ventrimaculata,Microhylidae,Microhylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,1.258925412,NA,NA
Chimerella mariaelenae,Centrolenidae,Diphyabatracea,female_only care ,1,1,0,0,1,1,2,0,2,0,0,1,absent,NA,NA,NA,NA,NA,NA,NA
Chiromantis doriae,Rhacophoridae,Natatanura,male_only care ,1,1,1,1,0,0,1,1,0,0,0,1,absent,27.4,21.6,24.5,_0.1,1.412537545,180,276.95
Chiromantis rufescens,Rhacophoridae,Natatanura,biparental care,2,1,1,1,0,0,1,1,1,0,0,1,absent,55.5,NA,NA,NA,2.818382931,157,966.24
Chiromantis xerampelina,Rhacophoridae,Natatanura,biparental care,2,1,1,1,0,0,1,1,1,0,0,1,absent,75,59,67,_0.1,1.862087137,440,1182.13
Clinotarsus curtipes,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,NA,NA,NA,NA,NA,NA,NA
Cochranella euknemos,Centrolenidae,Diphyabatracea,female_only care ,1,1,0,0,1,1,2,0,2,0,0,1,absent,29.5,25.5,27.5,_0.06,1.995262315,55,172.7
Cochranella granulosa,Centrolenidae,Diphyabatracea,female_only care ,1,1,0,0,1,1,2,0,2,0,0,1,absent,29,25.8,27.4,_0.05,1.513561248,55,97.14
Cochranella resplendens,Centrolenidae,Diphyabatracea,female_only care ,1,1,0,0,1,1,2,0,2,0,0,1,absent,NA,NA,NA,NA,NA,NA,NA
Colostethus fraterdanieli,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Colostethus inguinalis,Dendrobatidae,Agastorophrynia,biparental care,2,2,2,1,2,1,3,3,3,0,0,NA,absent,26.5,24.5,25.5,_0.03,NA,NA,NA
Colostethus jacobuspetersi,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Colostethus mertensi,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Colostethus panamansis,Dendrobatidae,Agastorophrynia,female_only care ,1,2,0,0,2,1,3,0,3,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Colostethus pratti,Dendrobatidae,Agastorophrynia,female_only care ,1,2,0,0,2,1,3,0,3,0,0,NA,absent,NA,NA,NA,NA,NA,14,NA
Conraua goliath,Petropedetidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,254,270,262,0.03,3.467368505,100,961.63
Cophixalus aenigma,Microhylidae,Microhylidae,male_only care ,1,1,1,1,0,0,2,2,0,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Cophixalus cheesmanae,Microhylidae,Microhylidae,male_only care ,1,1,1,1,0,0,2,2,0,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Cophixalus exiguus,Microhylidae,Microhylidae,male_only care ,1,1,1,1,0,0,2,2,0,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Cophixalus hosmeri,Microhylidae,Microhylidae,male_only care ,1,1,1,1,0,0,2,2,0,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Cophixalus infacetus,Microhylidae,Microhylidae,male_only care ,1,1,1,1,0,0,2,2,0,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Cophixalus mcdonaldi,Microhylidae,Microhylidae,male_only care ,1,1,1,1,0,0,2,2,0,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Cophixalus monticola,Microhylidae,Microhylidae,male_only care ,1,1,1,1,0,0,2,2,0,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Cophixalus neglectus,Microhylidae,Microhylidae,NA,NA,1,NA,NA,NA,NA,2,NA,NA,2,1,1,present,NA,NA,NA,NA,4.265795188,23,333.84
Cophixalus ornatus,Microhylidae,Microhylidae,male_only care ,1,1,1,1,0,0,2,2,0,2,1,NA,present,NA,NA,NA,NA,NA,16.5,NA
Cophixalus parkeri,Microhylidae,Microhylidae,male_only care ,1,1,1,1,0,0,2,2,0,2,1,1,present,NA,NA,NA,NA,3.467368505,NA,NA
Cophixalus riparius,Microhylidae,Microhylidae,biparental care,2,1,1,1,1,1,2,2,2,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Cophixalus saxitalis,Microhylidae,Microhylidae,male_only care ,1,1,1,1,0,0,2,2,0,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Cophixalus sphagnicola,Microhylidae,Microhylidae,male_only care ,1,1,1,1,0,0,2,2,0,2,1,1,present,NA,NA,NA,NA,NA,NA,NA
Cophyla phyllodactyla,Microhylidae,Microhylidae,male_only care ,1,2,2,1,0,0,2,2,0,2,1,0,absent,NA,NA,NA,NA,NA,NA,NA
Copiula derongo,Microhylidae,Microhylidae,male_only care ,1,2,2,1,0,0,NA,NA,0,2,1,NA,absent,NA,NA,NA,NA,NA,14,NA
Craugastor angelicus,Craugastoridae,Terrarana,female_only care ,1,1,0,0,1,1,1,0,1,0,0,NA,absent,NA,NA,NA,NA,6.760829754,NA,NA
Craugastor augusti,Craugastoridae,Terrarana,female_only care ,1,1,0,0,1,1,2,0,2,2,1,1,present,70.5,NA,NA,NA,7.244359601,61,2473.75
Craugastor decoratus,Craugastoridae,Terrarana,female_only care ,1,1,0,0,1,1,2,0,2,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Craugastor fitzingeri,Craugastoridae,Terrarana,female_only care ,1,1,0,0,1,1,2,0,2,2,1,NA,present,52.5,35,43.75,_0.18,NA,67.3,NA
Craugastor noblei,Craugastoridae,Terrarana,female_only care ,1,1,0,0,1,1,2,0,2,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Craugastor psephosypharus,Craugastoridae,Terrarana,female_only care ,1,1,0,0,1,1,2,0,2,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Crinia georgiana,Myobatrachidae,Australobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,2.238721139,NA,NA
Crinia glauerti,Myobatrachidae,Australobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,1.148153621,NA,NA
Crinia insignifera,Myobatrachidae,Australobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,1.288249552,NA,NA
Crinia nimbus,Myobatrachidae,Australobatrachia,biparental care,2,1,1,1,1,1,2,2,2,0,0,NA,absent,NA,NA,NA,NA,3.467368505,10,96.16
Crinia signifera,Myobatrachidae,Australobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,22.85,18.8,20.83,_0.08,1.479108388,137.5,234.83
Crinia tasmaniensis,Myobatrachidae,Australobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,2.187761624,NA,NA
Crinia tinnula,Myobatrachidae,Australobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,23,NA,NA,NA,1.148153621,76.5,79.42
Crossodactylus schmidti,Hylodidae,Crown Hyloidea,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,NA,NA,NA,NA,NA,NA,NA
Cruziohyla calcarifer,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,68.75,52,60.38,_0.12,3.89045145,49,585.05
Cryptobatrachus boulengeri,Hemiphractidae,Hemiphractidae,female_only care ,1,1,0,0,1,1,3,0,3,2,1,NA,present,NA,NA,NA,NA,3.981071706,NA,NA
Cryptobatrachus fuhrmanni,Hemiphractidae,Hemiphractidae,female_only care ,1,1,0,0,1,1,3,0,3,2,1,NA,present,NA,NA,NA,NA,3.981071706,NA,NA
Cycloramphus boraceiensis,Leptodactylidae,Diphyabatracea,male_only care ,1,1,1,1,0,0,2,2,0,0,0,1,absent,32,NA,NA,NA,3.01995172,50,353.25
Cycloramphus stejnegeri,Leptodactylidae,Diphyabatracea,female_only care ,1,2,0,0,2,1,3,0,3,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Dendrobates auratus,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,2,2,0,0,0,1,absent,34.1,30.3,32.2,_0.05,1.995262315,8.5,26.69
Dendrobates leucomelas,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,1,absent,34.8,32.7,33.75,_0.03,3.89045145,12.5,150.4
Dendrobates tinctorius,Dendrobatidae,Agastorophrynia,biparental care,2,2,2,1,2,1,3,3,3,0,0,NA,absent,46.5,41,43.75,_0.05,NA,5,NA
Dendrobates truncatus,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,28.7,25.6,27.15,_0.05,NA,5,NA
Dendropsophus allenorum,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,26,19,22.5,_0.14,NA,NA,NA
Dendropsophus anceps,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,40.3,37,38.65,_0.04,1,NA,NA
Dendropsophus bifurcus,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,31.8,25.1,28.45,_0.1,1.513561248,186,328.52
Dendropsophus brevifrons,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,21.45,18.5,19.98,_0.06,1.148153621,80,83.05
Dendropsophus carnifex,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,33,NA,NA,NA,1.202264435,100,113.04
Dendropsophus ebraccatus,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,34.5,25.1,29.8,_0.14,1.288249552,155.5,206.29
Dendropsophus elegans,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Dendropsophus koechlini,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,26,20.5,23.25,_0.1,1.096478196,325,308.7
Dendropsophus leali,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,24.5,NA,NA,NA,1,763,598.96
Dendropsophus leucophyllatus,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,42,33.9,37.95,_0.09,1.288249552,593.5,787.37
Dendropsophus marmoratus,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,51.15,39.1,45.13,_0.12,1.584893192,1069.5,2149.27
Dendropsophus microcephalus,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,26.8,22.8,24.8,_0.07,1,180,141.3
Dendropsophus minutus,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,23.8,21.3,22.55,_0.05,1,211,165.64
Dendropsophus miyatai,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,25,20,22.5,_0.1,NA,NA,NA
Dendropsophus nanus,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,20.5,18.5,19.5,_0.04,1.202264435,100,113.04
Dendropsophus parviceps,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,23.45,16.8,20.13,_0.14,1.023292992,267,220.21
Dendropsophus rhodopeplus,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,27.1,20.7,23.9,_0.12,1.047128548,317.5,274.78
Dendropsophus sanborni,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,18.5,16,17.25,_0.06,0.891250938,60,38.15
Dendropsophus sarayacuensis,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,34.5,25,29.75,_0.14,1.995262315,117.5,368.95
Dendropsophus triangulum,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,37.2,25.4,31.3,_0.17,1.548816619,525.5,991.07
Dermatonotus muelleri,Microhylidae,Microhylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,53.5,NA,NA,NA,0.741310241,10991,4724.66
Diasporus diastema,Eleutherodactylidae,Terrarana,male_only care ,1,1,1,1,0,0,2,2,0,2,1,1,present,21.38,18.5,19.94,_0.06,4.786300923,13,232.68
Discoglossus galganoi,Alytidae,Costata,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,56.5,NA,NA,NA,1.737800829,913,2194.91
Discoglossus pictus,Alytidae,Costata,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,56.5,NA,NA,NA,1.479108388,825,1385.21
Duellmanohyla rufioculis,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,36.6,28.2,32.4,_0.11,2.398832919,112,498.01
Duellmanohyla soralia,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,NA,NA,NA,NA,NA,NA,NA
Duellmanohyla uranochroa,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,2.570395783,NA,NA
Duttaphrynus himalayanus,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,95.8,87.8,91.8,_0.04,1.513561248,NA,NA
Duttaphrynus melanostictus,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,111,68.5,89.75,_0.21,1.148153621,4500,4671.73
Duttaphrynus stomaticus,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,74,NA,NA,NA,1.288249552,10000,13266.5
Ecnomiohlya rabborum,Hylidae,Hylidae,male_only care ,1,2,2,1,0,0,2,2,0,1,1,NA,absent,NA,NA,NA,NA,NA,NA,NA
Ecnomiohyla miotympanum,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,39.7,28.5,34.1,_0.14,2.398832919,120,542.59
Edalorhina perezi,Leptodactylidae,Diphyabatracea,biparental care,2,1,1,1,1,1,1,1,1,0,0,1,absent,34.85,26.9,30.88,_0.11,2.041737945,92.5,305.15
Elachistocleis bicolor,Microhylidae,Microhylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,32.5,22.5,NA,NA,1,620,486.7
Eleutherodactylus abbotti,Eleutherodactylidae,Terrarana,male_only care ,1,1,1,1,0,0,2,2,0,2,1,1,present,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus albipes,Eleutherodactylidae,Terrarana,female_only care ,1,1,0,0,1,1,2,0,2,2,1,1,present,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus alticola,Eleutherodactylidae,Terrarana,either parent,1,1,1,1,1,1,2,2,2,2,1,1,present,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus amadeus,Eleutherodactylidae,Terrarana,male_only care ,1,1,1,1,0,0,2,2,0,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus amplinympha,Eleutherodactylidae,Terrarana,female_only care ,1,1,0,0,1,1,2,0,2,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus antillensis,Eleutherodactylidae,Terrarana,male_only care ,1,1,1,1,0,0,2,2,0,2,1,NA,present,NA,NA,NA,NA,NA,33,NA
Eleutherodactylus atkinsi,Eleutherodactylidae,Terrarana,female_only care ,1,1,0,0,1,1,2,0,2,2,1,1,present,43,NA,NA,NA,3.981071706,68,854.08
Eleutherodactylus auriculatoides,Eleutherodactylidae,Terrarana,male_only care ,1,1,1,1,0,0,2,2,0,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus auriculatus,Eleutherodactylidae,Terrarana,male_only care ,1,1,1,1,0,0,2,2,0,2,1,1,present,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus bakeri,Eleutherodactylidae,Terrarana,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus cochranae,Eleutherodactylidae,Terrarana,male_only care ,1,1,1,1,0,0,2,2,0,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus cooki,Eleutherodactylidae,Terrarana,male_only care ,1,1,1,1,0,0,2,2,0,2,1,1,present,37,NA,NA,NA,3.981071706,25,314
Eleutherodactylus coqui,Eleutherodactylidae,Terrarana,male_only care ,1,1,1,1,0,0,2,2,0,2,1,1,present,37.45,33.4,35.43,_0.05,3.715352291,26,287.02
Eleutherodactylus cundalli,Eleutherodactylidae,Terrarana,female_only care ,1,3,0,0,3,1,2,0,2,2,1,1,present,38.85,32.3,35.58,_0.08,4.168693835,46.8,648.06
Eleutherodactylus dimidiatus,Eleutherodactylidae,Terrarana,female_only care ,1,1,0,0,1,1,2,0,2,2,1,1,present,45,NA,NA,NA,3.89045145,42,488.7
Eleutherodactylus glandulifer,Eleutherodactylidae,Terrarana,male_only care ,1,1,1,1,0,0,2,2,0,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus glaucoreius,Eleutherodactylidae,Terrarana,female_only care ,1,1,0,0,1,1,2,0,2,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus guantanamera,Eleutherodactylidae,Terrarana,male_only care ,1,1,1,1,0,0,2,2,0,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus hedricki,Eleutherodactylidae,Terrarana,male_only care ,1,1,1,1,0,0,2,2,0,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus inoptatus,Eleutherodactylidae,Terrarana,male_only care ,1,1,1,1,0,0,2,2,0,2,1,1,present,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus intermedius,Eleutherodactylidae,Terrarana,male_only care ,1,1,1,1,0,0,2,2,0,2,1,NA,present,20,17,18.5,_0.07,NA,NA,NA
Eleutherodactylus jasperi,Eleutherodactylidae,Terrarana,female_only care ,1,2,0,0,2,1,5,0,5,2,1,1,present,NA,NA,NA,NA,3.311311215,NA,NA
Eleutherodactylus johnstonei,Eleutherodactylidae,Terrarana,biparental care,2,1,1,1,1,1,2,2,2,2,1,1,present,26.45,23.1,24.78,_0.06,3.16227766,20,156.53
Eleutherodactylus martinicensis,Eleutherodactylidae,Terrarana,female_only care ,1,1,0,0,1,1,2,0,2,2,1,1,present,39.5,NA,NA,NA,4.265795188,34.5,489.18
Eleutherodactylus montanus,Eleutherodactylidae,Terrarana,male_only care ,1,1,1,1,0,0,2,2,0,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus nubicola,Eleutherodactylidae,Terrarana,female_only care ,1,1,0,0,1,1,2,0,2,2,1,1,present,32,NA,NA,NA,3.01995172,50,353.25
Eleutherodactylus pantoni,Eleutherodactylidae,Terrarana,female_only care ,1,1,0,0,1,1,2,0,2,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus pentasyringos,Eleutherodactylidae,Terrarana,female_only care ,1,1,0,0,1,1,2,0,2,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus planirostris,Eleutherodactylidae,Terrarana,no care,0,0,0,0,0,0,0,0,0,2,1,1,present,22.25,NA,NA,NA,3.981071706,14.25,178.98
Eleutherodactylus portoricensis,Eleutherodactylidae,Terrarana,male_only care ,1,1,1,1,0,0,2,2,0,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus richmondi,Eleutherodactylidae,Terrarana,female_only care ,1,1,0,0,1,1,2,0,2,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
